"Label (Grouping)","Arizona!!Estimate","Florida!!Estimate","Georgia!!Estimate","Illinois!!Estimate","Michigan!!Estimate","North Carolina!!Estimate","Ohio!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Virginia!!Estimate"
"            20 to 24 years","75,290","215,558","117,284","109,264","120,347","120,942","113,569","59,076","315,305","100,328"
"            25 to 34 years","45,015","121,153","77,068","65,236","60,432","69,641","61,839","38,638","194,549","52,350"
"            35 years and over","41,440","111,873","62,155","58,240","49,643","66,537","56,018","30,818","160,561","46,002"
"        Enrolled in private school:","126,921","484,373","239,796","322,845","187,376","224,744","264,953","167,745","535,525","196,313"
"            3 and 4 years","8,189","47,320","20,358","26,155","18,339","23,384","24,202","10,527","58,720","22,767"
"            5 to 9 years","25,705","89,717","38,498","64,516","45,958","43,354","61,764","31,347","105,580","44,492"
"            10 to 14 years","23,745","94,888","48,495","46,467","37,966","44,018","56,728","35,707","96,484","26,687"
"            15 to 17 years","12,224","44,940","27,554","22,859","18,637","21,870","28,203","21,159","52,906","16,363"
"            18 and 19 years","6,491","31,134","15,365","31,210","15,409","17,425","20,782","17,437","47,323","16,493"
"            20 to 24 years","17,469","57,052","34,367","59,196","25,409","28,905","32,591","26,056","64,229","25,856"
"            25 to 34 years","14,021","60,106","25,418","40,574","12,770","20,171","18,389","14,313","45,247","18,558"
"            35 years and over","19,077","59,216","29,741","31,868","12,888","25,617","22,294","11,199","65,036","25,097"
"        Not enrolled in school:","2,664,358","8,361,145","3,948,533","4,668,210","3,749,085","3,936,035","4,411,852","2,645,322","10,365,959","3,177,603"
"            3 and 4 years","59,014","130,149","74,389","79,699","70,255","74,857","85,045","56,251","236,672","60,942"
"            5 to 9 years","17,364","32,614","13,519","24,474","21,153","15,712","23,918","15,600","68,251","17,854"
"            10 to 14 years","6,239","14,275","7,748","9,069","7,961","6,869","10,017","6,143","25,084","8,311"
"            15 to 17 years","5,797","13,199","8,732","5,841","6,825","6,825","9,846","4,419","24,234","5,022"
"            18 and 19 years","27,927","58,319","44,698","36,801","30,941","33,806","37,756","24,707","110,212","22,536"
"            20 to 24 years","143,633","339,764","202,632","226,989","181,339","193,401","223,310","134,661","603,448","151,471"
"            25 to 34 years","424,987","1,167,328","641,501","742,496","569,645","605,474","685,432","423,531","1,849,871","496,106"
"            35 years and over","1,979,397","6,605,497","2,955,314","3,542,841","2,860,966","2,999,091","3,336,528","1,980,010","7,448,187","2,415,361"
